authors,title,series,genres,availability,publication_date,editor,pages,isbn,summary,cover_path
"Nosaka, Akiyuki; Vos, Patrick de",La Tombe des lucioles,,"Roman, Historique, Autobiographie",,1995,PICQUIER,139,2877302202,"Japon, 1945 : la guere fait rage. Deux enfants, un frère et sa soeur, se retrouvent confrontés à la peur et à la mort. A travers ce terrible récit de fiction, Nosaka nous conte en réalité sa propre histoire. Un roman tragique porté par une plume exceptionnelle. Poignant !",/MyLibrary/Images/Books/146.png
"Ó Conghaile, Pól; Conghaile",Secret Dublin: An Unusual Guide,,Voyage,,,JonGlez,280,9782361950712,"Discover the inner sanctum of Freemason's Hall, see Napoleon's toothbrush, marvel at a hoax plaque hidden in plain sight on O'Connell Bridge, try George IV's footprints for size, venture into a Georgian time capsule on Henrietta Street, cross the bridge beneath which William Rowan Hamilton had his ‘Eureka' moment, explore a ‘museum' flat preserved exactly as it was almost 100 years ago, tune into the world of vintage radio in a Martello Tower, spot Dublin's subterranean river...",/MyLibrary/Images/Books/270.png
"Olité, Marion",Buffy ou la révolte à coups de pieu,,Essai,,05/10/2023,Playlist Society,134,9791096098668,"Diffusée entre 1997 et 2003, la série Buffy contre les vampires raconte en sept saisons le passage à l'âge adulte d'un groupe d'adolescent-es américain-es aux prises avec une multitude de démons, métaphores de leurs angoisses. Leur leadeuse, Buffy, est une Tueuse de vampires aux pouvoirs
surnaturels, qui apprend à s'émanciper de toutes les formes de domination, en particulier d'un système patriarcal omniprésent.

Célébrée par les fans à travers le monde, analysée par de nombreux-ses universitaires,
Buffy contre les vampires a inspiré des générations de showrunners et est entrée au panthéon de la pop culture. Echappant à Joss Whedon, son créateur, Buffy Summers
est devenue un symbole de réappropriation du pouvoir par les femmes. Au-delà de cette figure féminine puissante, la série revalorise les bienfaits du collectif dans notre société
individualiste en crise. Buffy ou la révolte à coups de pieu explore les différentes facettes d'une série unique, qui offre des pistes
de réflexion pour mieux vivre ensemble, et peut-ếtre même sauver le monde.",/MyLibrary/Images/Books/44.png
"Orwell, George",La ferme des animaux,,Roman,,04/01/1984,Folio,150,9782070375165,"Un certain 21 juin eut lieu en Angleterre la révolte des animaux. Les cochons dirigent le nouveau régime. Snowball et Napoléon, cochons en chef, affichent un règlement :
""Tout ce qui est sur deux jambes est un ennemi. Tout ce qui est sur quatre jambes ou possède des ailes est un ami. Aucun animal ne portera de vêtements. Aucun animal ne dormira dans un lit. Aucun animal ne boira d'alcool. Aucun animal ne tuera un autre animal. Tous les animaux sont égaux.""
Le temps passe. La pluie efface les commandements. L'âne, un cynique, arrive encore à déchiffrer :
""Tous les animaux sont égaux, mais (il semble que cela ait été rajouté) il y en a qui le sont plus que d'autres.""",/MyLibrary/Images/Books/147.png
Pamuk; Orhan,Le Livre Noir: A40119 (Folio),,Roman,,1995,Folio,715,9782070401192,"Pendant une semaine, jour et nuit dans Istanbul, un jeune avocat, Galip, part à la recherche de sa femme Ruya, qu'il aime depuis l'enfance, et qui lui a laissé une
lettre mnystérieuse: est-ce un jeu? un adieu? Dans le fol espoir de la retrouver, il fouille ses souvenirs et le passé militant de Ruya. Il lit et relit les écrits de Djélâl, le demi-frère de sa femme - un homme secret qu'il admire. Mais lui aussi semble avoir disparu.
À la recherche des deux êtres qu'il aime, Galip est en même temps en quête de sa propre identité et, bientôt, de celle d'Istanbul, présentée ici sous un aspect singulier : toujours enneigée, boueuse et ambiguë, insaisissable.",/MyLibrary/Images/Books/148.png
"Pennac, Daniel",Au bonheur des ogres,,Roman,,03/10/1997,Folio,286,9782070403691,"Côté famille, maman s'est tirée une fois de plus en m'abandonnant les mômes, et le Petit s'est mis à rêver d'ogres Noël.
Côté coeur, tante Julia a été séduite par ma nature de bouc (de bouc émissaire).
Côté boulot, la première bombe a explosé au rayon des jouets, cinq minutes après mon passage. La deuxième, quinze jours plus tard, au rayon des pulls, sous mes
yeux. Comme j'étais là aussi pour l'explosion de la troisième, ils m'ont tous soupçonné.
Pourquoi moi ?
Je dois avoir un don...",/MyLibrary/Images/Books/149.png
"Perrot, Jack",rue rost,,Poésie,,2011,Samizdat,87,2-940188-65-3,"(Ne) cherchez (pas) rue rost* sur un plan de Genève, vous (ne) la
trouverez (pas).
La force du livre de Jack Perrot est dans cette ambiguité.

Rue réelle, vécue, rêvée, soufferte, honnie, hélée, aimée, au nom mâché et remâché. On pourrait remplacer le mot «rue» par le mot «vie». Jacques Perrot dit Jack joue avec les mots, en use avec excès, les use jusqu'à la corde. Mots de sa langue, mots d'autres langues (ladino, allemand, romanche, hébreu). Mots convoqués, assignés
pour un procès dont il est à la fois victime (fière) et plaignant
(obstiné). Contre la bureaucratie (voir p. 31 ldégie des noms à
partir de l'alphabet de classement de dossier!) contre les langues de bois, les files d'attente, les rats de baraquement, le soupçon, le
mépris, les murs, tous les murs. Qui séparent. Enferment. Excluent.

Pourtant rue rost est un livre ouvert. D'où germe une parole / dans le défaut même de l'espérance:

Je glise
un minuscule rouleau de voeux
dans le mur qui barre la rue
le mur qui fait de la rue une impasse
le voeu qui fait du mur un passage.

* rue Rotschild, dans le quartier des Pâquis",/MyLibrary/Images/Books/24.png
"Pirso, Anette; Gonzalez, Israel",The Divine Feminine,,"Art, Mythologie",,2021,Anetteprs OÜ,140,9789916405437,"The Divine Feminine
A Book on Female Divinities from
Celtic, Egyptian, Greek, Norse, and Slavic Mythology",/MyLibrary/Images/Books/64.png
"Potencier, Fabien",En route pour Symfony 5,,Tech,,06/02/2020,Symfony SAS,338,9782918390381,"Est-il possible de construire rapidement une application web moderne et d'en aimer le déroulement ? Avec Symfony 5, c'est possible. Ce livre, écrit par le créateur de Symfony, présente une approche pragmatique du développement d'applications web avec Symfony 5 : de zéro à la production. Que vous découvriez Symfony pour la première fois ou que vous rafraîchissiez vos connaissances, ce guide pratique constitue l'introduction ultime aux applications Symfony modernes.

Apprenez comment combiner Symfony avec Docker, des APIs, des notifications, des files d'attente et des tâches asynchrones, Webpack, des Single-Page Applications, et d'autres outils puissants. À la fin de ce livre, vous aurez la confiance, la compréhension et une vision claire pour vous plonger et commencer à construire votre prochaine application avec Symfony.",/MyLibrary/Images/Books/231.png
"Pratchett, Terry",La Huitième Couleur,Les Annales du Disque-Monde (tome 1),Fantastique,,18/01/2011,Pocket,288,9782266211819,"Dans une dimension lointaine et passablement farfelue, un monde en forme de disque est juché sur le dos de quatre éléphants, eux-mêmes posés Sur une tortue.
À Ankh-Morpork, l'une des villes du Disque-Monde, les habitants croyaient avoir tout vu. Et Deuxfleurs avait l'air tellement inoffensif, avec son Bagage de bois magique circulant sur une myriade de petites jambes... Tellement inoffensif que le Praticien a chargé le calamiteux sorcier Rincevent de sa sécurité dans la cité quadrillée par la guilde des voleurs et celle des assassins.
Car Deuxfleurs appartient à l'espèce la plus redoutable qui soit : c'est un touriste...",/MyLibrary/Images/Books/150.png
"Pratchett, Terry",Pyramides,Les Annales du Disque-Monde (tome 7),Fantasy,,10/01/2011,Pocket,320,9782266211871,"Teppicymon XXVIl est mort et il a un peu de mal à se faire à cette idée.
Son fils va lui succéder et lui aussi a quelque difficulté à s'adapter à la nouvelle situation. Pas facile d'hériter du trône quand on est encore un ado et qu'on vient d'achever ses études à la Guilde des Assassins...
Vous voilà soudain responsable du lever du soleil comme de l'abondance des récoltes. Et les ennuis vous guettent.
Sans compter que la Grande Pyramide a précipité le royaume dans une faille spatiotemporelle !",/MyLibrary/Images/Books/151.png
"Pratchett, Terry",Sourcellerie,Les Annales du Disque-Monde (tome 5),Fantasy,,2010,Pocket,287,9782266211857,"La magie, c'est de la bouillie pour les chats. Voici la sourcellerie, la puissance thaumaturgique de l'Aube des Temps ! Elle pénètre le Disque-Monde par l'entremise du huitième fils d'un mage (défroqué, oui! ). Disons-le tout net: casse-cou.
Faudra-t-il compter sur Rincevent pour sauver les meubles? Il a plus d'un tour dans son sac percé. Il a aussi une équipe de choc, avec le pusillanime Bagage - tellement humain! - et le subtil bibliothécaire de l'Université des mages – tellement simiesque ! Avec Nijel le Destructeur, jeune héros par correspondance, et Conina, la fille du plus célèbre Barbare, par qui tombent les cœurs et les coups.",/MyLibrary/Images/Books/49.png
"Pratchett, Terry",Trois soeurcières,Les Annales du Disque-Monde (tome 6),Fantasy,,2011,Pocket,287,9782266211864,"Le vent, l'orage et les éclairs...
Au cœur des éléments déchainés luisait un feu, telle la folie dans l'oeil d'une fouine. Il éclairait
trois silhouettes voûtées. Tandis que bouillonnait le chaudron, une voix effrayante criailla :
«Quand nous revoyons-nous, toutes les trois ?»
Une autre voix, répondit:
«Ben, moi j'peux mardi prochain.»
Rois, nains, bandits, démons, héritiers du trône, bouffons, trolls, usurpateurs, fantômes, tous sont au rendez-vous. Shakespeare n'en aurait pas rêvé
autant. Ou peut-être que si ?",/MyLibrary/Images/Books/50.png
"Proust, Marcel",Un amour de Swann,,Roman,,1919,Gallimard,134,9783368915377,,/MyLibrary/Images/Books/152.png
"Proust, Marcel",Correspondance avec Madame Straus,,"Authors, French",,1974,,334,WISC:89008600777,,/MyLibrary/Images/Books/291.png
"Pullman, Philip",Le Miroir d'Ambre,À la croisée des mondes (tome 3),Fantasy,,15/09/2003,Folio,794,9782070301379,"Séparée de son compagnon Will, la jeune Lyra est rete- nue prisonnière par sa mere, l'ambitieuse et impito- vable Mme Coulter qui, pour mieux s'assurer de sa docilité, l'a plongée dans un sommeil artificiel.
Parti à sa recherche escorté de deux anges, Balthamos et Baruch, Will parvient finalement, au prix d'un terrible sacrifice, à délivrer Lyra. Pour aussitôt repartir à I'aventure.
Car, tandis que Lord Asriel se prépare à I'ultime bataille qui décidera du sort des mondes, les deux adolescents doivent s'engager dans la plus périlleuse des missions : un voyage dans une contrée d'où nulle ame
n'est jamais revenue, le royaume des morts...
Éblouissante conclusion d'une série qui figure d'ores et déja au panthéon des littératures de l'imaginaire, Le Miroir d'Ambre a reçu en 2001 les prestigieux Whitbread Award et World Fantasy Award.",/MyLibrary/Images/Books/153.png
"Queneau, Raymond",Les fleurs bleues,,Roman,,,Folio,276,9782070370009,"On connaît le célèbre apologue chinois: Tchouang-tseu rêve qu'il est un papillon, mais n'est-ce point le papillon qui rêve qu'il est Tchouang-tseu ? De même dans ce roman, est-ce le duc d'Auge qui rêve qu'il est Cidrolin ou Cidrolin qui rêve qu'il est le duc d'Auge ?",/MyLibrary/Images/Books/155.png
"Racine, Jean",Andromaque,,Théâtre,,11/05/2005,Hachette Éducation,224,9782011691200,,/MyLibrary/Images/Books/253.png
"Racine, Jean",Bérénice,,Théâtre,,27/01/1988,Le Livre de Poche,156,9782253044994,,/MyLibrary/Images/Books/254.png
Racine,Phèdre,,Théâtre,,1971,Larousse,153,203034785X,,/MyLibrary/Images/Books/156.png
"Rambert, Pascal",Clôture de l'amour,,Théâtre,,2011,Solitaires intempestifs,84,9782846813259,"Je disais l'amour de ma vie et je te regardais
je te regarde et je pense je ne te reconnais plus
ton corps je le connais
les attaches les os tout ça je connais 
mais dessous il y a quoi
dessous sous l'enveloppe il y a quoi ?
une sorte de nouveau toi et moi qui n'a rien à
voir rien à voir je suis désolé
tu vas dire avec ce que l'on était
oui avec ce que l'on était
ce qu'il y avait à l'intérieur de nous
oui cette chose que l'on chérissait",/MyLibrary/Images/Books/157.png
"Raynauld, Isabelle",Lire et écrire un scénario,,,,16/05/2012,ARMAND COLIN,224,9782200355616,,/MyLibrary/Images/Books/294.png
"Rhulhes, Christophe; GDRA",La guerre des natures,,"Essai, Théâtre",,21/10/2019,Solitaires intempestifs,144,9782846815789,"La Guerre des Natures oppose en batailles successives les « terriens » (humains et non-humains qui savent qu’ils appartiennent à la Terre) aux « modernes » (ceux qui pensent depuis quelques siècles déjà que la Terre est à eux). Cette lutte peut traverser en contradictions une seule et même personne. Depuis l’Amazonie wayana, les townships xhosa du Cap, les rues merina d’Antananarivo ou le monde paysan aveyronnais, Lenga et Selve sont des récits de deuils et d’espoirs issus de ce conflit. Ils se métissent vers un imaginaire de l’oralité et du paysage urbain, forestier, fluvial, dans lequel les visages et les portraits sont là.

Qu’ont à voir ensemble les arts et les humanités, l’ordinaire et le théâtre ? Vers quelles fabulations et pour quel peuple ? Christophe Rulhes écrit pour le GdRA, collectif pluridisciplinaire d’artistes qu’il anime avec Julien Cassier, des pièces de théâtre d’enquête, de témoignages et d’anthropologie où la parole s’entend selon des perspectives, des corps et des langues croisées. Il cherche des conversations, où tout choix de vie est singulier et ne peut être le seul possible.

Lenga 
Textes de Christophe Rulhes, Lizo James,
Maheriniaina Pierre Ranaivoson et leur famille
Photographies d'Edmond Carrère et Julien Cassier

Selve
Textes de Sylvana  Opoya et Christophe Rulhes
Photographies d'Hélène Canaud et Julien Cassier
Dessins de Benoît Bonnemaison-Fitte",/MyLibrary/Images/Books/237.png
"Richard, Bach",Jonathan Livingston le Goéland,,"Roman, Jeunesse",,10/09/1992,PERE CASTOR,128,9782081617148,"Jonathan Livingston n'est pas un goéland comme les autres. Sa passion, cest de voler toujours plus vite, toujours plus haut. Ses parents l'incitent à se comporter comme tout bon goéland qui vole uniquement pour se nourrir. Mais après de douloureux efforts, Jonathan parvient à dépasser ses limites.
Chassé du clan, condamné à une vie de hors-la-loi, il poursuit alors solitaire son entrainement jusqu'au jour où il rencontre d'autres adeptes du vol libre.",/MyLibrary/Images/Books/78.png
"Rimbaud, Arthur",Poesies et Rimbaud,,Poésie,,2005,Éditions de la Seine,,9782743453718,"Son œuvre poétique, Arthur Rimbaud le visionnaire l'a composée entre sa dix-septième et sa dix-neuvième année.
Son génie précoce et fugace, mélange de nostalgie d'enfance, d'hallucinations - certaines pièces ont été composées sous
l'influence de la drogue -, de détresse et de vertiges, a marqué toute la poésie du XX° siècle.
Aucun de ses contemporains n'a compris ce révolutionnaire de la poésie, à l'exception
de Verlaine, qui veilla à la publication de son œuvre, et de Mallarmé, pour lequel ce
précurseur fut « une aventure unique dans l'histoire de l'art. Éclat d'un météore, allumé sans motif autre que sa présence,
issu seul et s'éteignant ».",/MyLibrary/Images/Books/25.png
"Ringland, Holly",The ​Lost Flowers of Alice Hart,,Roman,,2018,Pan Books,386,9781509859849,"Flowers, ​fire and fairy tales are the elements that will forever shape nine-year-old Alice Hart's life, in The Lost Flower's of Alice Hart, the remarkable debut by Holly Ringland.

Alice Hart lives in isolation by the sea, where her mother’s enchanting flowers and their hidden messages shelter her from the dark moods of her father. When tragedy changes her life irrevocably, nine-year-old Alice goes to live with the grandmother she never knew existed, on a native flower farm that gives refuge to women who, like Alice, are lost or broken. In the Victorian tradition, every flower has a meaning and, as she settles into her new life, Alice uses this language of flowers to say the things that are too hard to speak.

As she grows older, though, family secrecy, a devastating betrayal and a man who’s not all he seems, combine to make Alice realise there are some stories that flowers alone cannot tell. If she is to have the freedom she craves, she must find the courage to possess the most powerful story she knows: her own.",/MyLibrary/Images/Books/158.png
"Rosling, Hans; Rosling, Ola; Rosling Rönnlund, Anna",Factfulness (Essais),,Essai,,13/02/2019,Flammarion,382,9782081427112,"Nous nous croyons rationnels et informés. Ce n'est pas le cas. Nous nous trompons systématiquement, quel que soit notre niveau d'études, y compris - peut-être même plus sur les sujets que nous croyons bien connaître.
Mais, comme le met au jour Hans Rosling, statisticien de génie et star des conférences TED, les raisons pour lesquelles nous nous trompons sont toujours les mêmes ! Hérité d'un ancestral instinct de survie, c'est le fonctionnement même de notre cerveau qui nous induit en erreur :
En nous incitant à chercher un coupable à tout phénomène,
En résumant la plupart des problèmes en une stérile opposition binaire,
En nous intimant de réagir dans I'urgence (confondant ainsi peur et danger),
En étant facilement ébloui par les gros chiffres ;
En dramatisant à I'excès (et en adorant ça)..
Ce livre nous apprend à repérer les situations où nos biais de pensée déforment notre vision des choses. Indispensable pour comprendre le monde tel qu'il est, Factfulness permet de prendre, enfin, la saine habitude de ne fonder son opinion que sur des faits.",/MyLibrary/Images/Books/223.png
"Routard, Le","Danemark, Suède",,Voyage,,13/05/2015,Hachette Tourisme,599,9782013960359,,/MyLibrary/Images/Books/273.png
"Rufin, Jean-Christophe",Un léopard sur le garrot: Chroniques d'un médecin nomade,,Autobiographie,,31/01/2008,Gallimard,288,9782070782901,"Chroniques d'un médecin nomade

Médecin des hôpitaux, pionnier de l'humanitaire ""sans frontières"", écrivain, prix Goncourt 2001, aujourd'hui ambassadeur de France au Sénégal, Jean-Christophe Rufin mène sa vie au grand galop. Selon une image tirée d'un poème de Senghor, il semble aller comme un cheval qu'un léopard aurait saisi au garrot.
Pourtant, sous l'apparente diversité de cette existence, on distingue une unité profonde, née de la fidélité à une seule passion : la médecine, vécue comme un engagement total dans une discipline moins scientifique qu'humaniste.
Voyage dans une vie, ce récit, en tirant sur ce fil qu'est la médecine, fait défiler sous nos yeux trente ans de notre histoire, d'un point à l'autre de la planète.
De nouveau, I'auteur de Rouge Brésil et de L'Abyssin offre au lecteur une belle aventure. Mais, cette foisci, c'est la sienne.",/MyLibrary/Images/Books/159.png
"Sade, marquis de",Contes licencieux,,Érotique,,1974,Saint-Clair,248,OCLC:636649490,"""Il y a peu d'êtres dans le monde aussi libertins que le cardinal de... dont, attendu l'existence saine et vigoureuse encore, vous me permettrez de taire le nom. L'éminence a un arrangement fait à Rome avec une de ces femmes dont le métier officieux est de fournir les débauchés d'objets nécessaires à l'aliment de leurs passions""",/MyLibrary/Images/Books/185.png
"Sade, Marquis de",Les crimes de l'amour,,Érotique,,1974,Saint-Clair,296,OCLC:984764851,,/MyLibrary/Images/Books/186.png
"Sagan, Carl",Contact,,SF,,16/10/1997,Orbit,432,9781857235807,"WE ARE BEING WATCHED
At first it seemed impossible - a radio signal that came not from Earth but from far beyond the nearest stars. But then the signal was translated, and what had been impossible became terrifying...
For the signal contains the information to build a Machine that can travel to the stars. A Machine that can take a human to meet those that sent the message.
They are eager to meet us: they have been watching and waiting for a long time.
And now they will judge.",/MyLibrary/Images/Books/162.png
"Saint-Exupéry, Antoine de",Le Petit Prince,,"Roman, Jeunesse",,23/02/1999,Folio,97,9782070408504,,/MyLibrary/Images/Books/164.png
"Saint-Exupéry, Antoine de",Terre des hommes,,Roman,,27/01/1972,Folio,181,9782070360215,"Il est inexplicable que nous soyons vivants,
Je remonte, ma lampe electrique à la main, les traces de l'avion sur le sol. A deux cent cinquante mères de son point d'arrét nous retrouvons dejà des ferrailles tordues et des tôles dont, tout le long du parcours, il a éclaboussé le sable. Nous saurons, quand viendra le jour, que nous avons tamponne presque tangentiellement une pente douce au sommet d'un plateau désert.",/MyLibrary/Images/Books/165.png
"Samareh, Yadollah",Enseignement de la langue persane - Cours élémentaire - Livre 2,,Éducation,,,,,9782846815789,,
"Sanderson, Brandon",The Final Empire,Mistborn (tome 1),Fantasy,,01/10/2009,Orion Books,647,9780575089914,"The Mists rule the night... The Lord Ruler owns the world.

FOR A THOUSAND YEARS THE ASH FELL.
For a thousand years, the Skaa slaved in misery and lived in fear. For a thousand years, the Lord Ruler reigned with absolute power and ultimate terror, divinely invincible.
Every attempted revolt has failed miserably.

YET SOMEHOW HOPE SURVIVES.
A new kind of uprising is being planned, one that depends on the cunning of a brilliant criminal maste rmind and the courage of an unlikely heroine, a Skaa street urchin, who must learn to master Allomancy, the power of a mistborn.

What if the prophesied hero had failed to defeat the Dark Lord? The answer will be found in the Mistborn trilogy, a saga of surprises that begins here.",/MyLibrary/Images/Books/41.png
"Sapkowski, Andrzej",Sorceleur - Le Lionceau de Cintra,Sorceleur - Édition du 30e anniversaire (tome 2),Fantasy,,17/10/2018,Bragelonne,880,9791028104054,"Alors que la guerre sévit de tous côtés, Ciri, jeune princesse et unique survivante du royaume de Cintra, semble avoir un rôle décisif à jouer dans la destinée de ce monde. C’est ce que pressent Geralt, le chasseur de monstres, lorsqu’il la recueille et la conduit dans l’antre des sorceleurs, Kaer Morhen. La fillette, initiée aux arts magiques par Triss puis Yennefer, devient rapidement l’objet de toutes les convoitises et court un grave danger.

Retrouvez dans cette édition collector magnifiquement illustrée la suite des aventures de Geralt : Le Sang des Elfes, Le Temps du Mépris, Le Baptême du Feu et une nouvelle traduite pour la première fois en français, La route sans retour, ainsi que de magnifiques illustrations.",/MyLibrary/Images/Books/181.png
"Sapkowski, Andrzej",Sorceleur - Les Origines,Sorceleur - Édition du 30e anniversaire (tome 1),Fantasy,,20/09/2017,Bragelonne,852,9791028108823,"En ces temps obscurs, ogres, goules et vampires pullulent, et les magiciens sont des manipulateurs experts. Contre ces menaces, un tueur à gages exceptionnel, un mutant devenu le parfait assassin grâce à la magie et à un long entraînement : Geralt de Riv.

Fidèle aux règles de la corporation maudite des sorceleurs, il assume sa mission sans faillir dans un monde hostile et corrompu qui ne laisse aucune place à l’espoir.

Héros solitaire, il n’en fera pas moins d’étonnantes rencontres au cours de ses aventures : une magicienne capricieuse aux charmes vénéneux, un troubadour paillard au grand cœur… et enfin la petite Ciri, l’enfant élue. Geralt cessera-t-il un jour de fuir devant la mort pour affronter son véritable destin ?

Cette édition collector rassemble :

• Une préface de Stéphane Marsan, éditeur de la série

• Les trois premières aventures de Geralt, dans l’ordre chronologique : Le Dernier vœu, L’Épée de la providence et La Saison des orages

• Deux cahiers contenant des illustrations issues des jeux vidéo The Witcher",/MyLibrary/Images/Books/180.png
"Sapkowski, Andrzej",Sorceleur - Zireael,Sorceleur - Édition du 30e anniversaire (tome 3),Fantasy,,13/11/2019,Bragelonne,864,9791028105945,"Retrouvez dans cette édition collector la fin des aventures de Geralt, La Tour de l'hirondelle et La Dame du lac, ainsi que de magnifiques illustrations.

Convaincu que Ciri s'apprête à épouser l'empereur de Nilfgaard, le sorceleur poursuit sa route vers le sud. Mais ce périple est long et dangereux, car de nombreux ennemis se dressent devant lui. Tandis que les traîtres se dévoilent et que les complots éclatent, les doutes sur la véritable destinée de Ciri hantent tous les esprits. D'autant qu'elle est aux mains d'un monstrueux chasseur de primes...",/MyLibrary/Images/Books/182.png
"Savage, Sam",Firmin: Autobiographie d'un grignoteur de livres,,Roman,,01/05/2009,Actes Sud,208,9782742783489,"Autobiographie d'un grignoteur de livres, Firmnin raconte lhistoire d'un rongeur érudit qui a vu le jour dans les sous-sols d'urne librairie de Scollay Square, vieux quartier en péril du Boston des années 1960.
Plein d'appétit pour les mots, épris de nourritures spirituelles autant que terrestres, Firmin ne peut communiquer tous ses coups de cœur ni exprimer ses détresses, et voit avec révolte se déliter sa race comme son quartier, cernés par l'incompréhension des hommes et par les mécanismes du profit. Mais la rencontre avec un romancier marginal le sauve du pessimisme ambiant. Superbe hommage aux valeurs de l'écrit et aux singularités de toutes espèces, l'aventure de Firmin est aussi un fabuleux trait d'union entre littérature, exclusion et résistance.

""Firmin, le rat que Walt Disney aurait inventé sil avait été Borges, Si lire est ton plaisir et ton destin, ce livre a été écrit pour toi."" (Alessandro Baricco.)",/MyLibrary/Images/Books/163.png
"Schall, Serge",Mon jardin de plantes médicinales,,,,2018,Larousse,,9782035943729,"Nous connaissons tous les bienfaits des plantes, sans forcément réaliser que certaines sont de culture très facile.
Cultiver des plantes médicinales, c'est les avoir en permanence à disposition, sous leur forme fraîche ou séchée, c'est savourer le plaisir de renouer avec le passé. C'est aussi la sensation agréable de reprendre sa santé en main.
Pour créer votre jardin de santé, suivez les conseils de ce livre et choisissez parmi les 60 plantes décrites. Pour chacune, des conseils de culture, d'entretien, de conservation, et des «recettes » d'infusions ou de préparations. Un index des petits maux et troubles que l'on peut améliorer par les plantes vous aidera à faire votre sélection.
Plus une minute à perdre, préparez la bêche, sortez les sachets de graines, la santé est à portée de sécateur !",
"Scott, Kim",Radical Candor: How to Get What You Want by Saying What You Mean,,"Essai, Management",,23/03/2017,Macmillan,272,9781509845361,"Radical Candor is the sweet spot between managers who are obnoxiously aggressive on the one side and ruinously empathetic on the other. It is about providing guidance, which involves a mix of praise as well as criticism, delivered to produce better results and help employees develop their skills and boundaries of success.

Great bosses have a strong relationship with their employees, and Kim Scott has identified three simple principles for building better relationships with your employees: make it personal, get stuff done, and understand why it matters.

Radical Candor offers a guide to those bewildered or exhausted by management, written for bosses and those who manage bosses. Drawing on years of first-hand experience, and distilled clearly to give actionable lessons to the reader, Radical Candor shows how to be successful while retaining your integrity and humanity. Radical Candor is the perfect handbook for those who are looking to find meaning in their job and create an environment where people both love their work, their colleagues and are motivated to strive to ever greater success.",/MyLibrary/Images/Books/228.png
"See, Lisa",La mémoire du thé,,Roman,,04/05/2022,J'AI LU,512,9782290375822,"Sud-ouest de la Chine, dans les années 1990. Sur le mont Nannuo, la culture du thérythme depuis toujours la vie des Akha, un peuple aux méthodes de récolte archaiques et aux principes religieux très stricts. Li-yan, la première de sa famille à savoir lire et écrire, rejette ces
traditions et décide de poursuivre ses études malgré les réticences de la communauté. Mais lorsqu'elle doit faire face à une grossesse non désirée, la loi akha tombe et Li-yan na d'autre choix que de tout abandonner -
jusqu'à son enfant, qu'elle dépose sur les marches d'un
orphelinat, accompagnée d'une galette de thé.

Les années passant, le souvenir de cette tragédie la hante, tandis qu'à des milliers de kilomètres une jeune femme part à la recherche de ses racines...

Américaine d'origine chinoise, Lisa See est l'auteure des best-sellers Fleur de Neige, Le pavillon des pivoines, Filles de Shanghai, Ombres chinoises, Poupées de Chine et L'île des fenmes de la mer, tous disponibles aux Éditions J'ai lu.",/MyLibrary/Images/Books/46.png
Sénèque,De la vie heureuse et De la tranquillité de l'âme,,,,07/02/2005,J'AI LU,92,9782290344224,,/MyLibrary/Images/Books/299.png
"Serge, Nunez Tolin",Silo IV,,Poésie,,2004,Le Cormier,127,2930231343,,/MyLibrary/Images/Books/26.png
"Shakespeare, William",King Lear,,Théâtre,,1963,Signet Classics,280,9781551119670,,/MyLibrary/Images/Books/166.png
"Shakespeare, William",Romeo and Juliet,,Théâtre,,1994,Penguin Books,294,OCLC:1106685952,,/MyLibrary/Images/Books/160.png
"Shannon, Samantha",The Priory of the Orange Tree,,Fantasy,,23/01/2020,Bloomsbury UK,830,9781408883358,"Currently, Queen Sabran the Ninth's power in Inys is tenuous; she has yet to produce an heir to the throne and the Nameless One threatens to awaken again. Ead Duryan is an outsider from the South who acts as a lady-in-waiting and protector to Sabran, but is loyal to the secret mage society of the Priory, which has its own view of the history of Cleolind, the Mother, and Sir Galian, the Deceiver. Meanwhile, Lord Arteloth Beck, close friend of Sabran, is banished from Inys on a futile quest by those who seek to weaken the queen.

In the East, where water dragons are revered as living gods, Miduchi Tané has spent her life training to become a dragonrider. When Tané comes upon an outsider and trespasser from the West, she throws her future into jeopardy by hiding him with Niclays Roos, an alcoholic alchemist searching for the secret to immortality who was banished from Sabran's court years ago.",/MyLibrary/Images/Books/40.png
"Simmons, Dan","The Hyperion Omnibus: Hyperion, The Fall of Hyperion",,SF,,02/12/2004,Gollancz,784,9780575076266,"The books that reinvented epic Science Fiction

Toether in one volume for the first time, the first two novels of the Hyperion Cantos.

HYPERION
It is the 29th century and the universe of the Human Hegemony is under threat. Invasion by the warlike Ousters looms, and the mysterious schemes of the secessionist Al TechnoCore bring chaos ever closer.

On the eve of disaster, with the entire galaxy at war, seven pilgrims set fourth on a final voyage to the legendary Time Tombs on Hyperion, home to the Shrike, a lethal creature, part god and part killing machine, whose powers transcend the limits of time and space. The pilgrims have resolved to die before discovering anything less than the secrets of the universe itself.

THE FALL OF HYPERION
The mysterious Time Tombs are opening and the Shrike that has risen from them may well control the fate of all mankind. The Ousters are laying siege to the Hegemony of Man and the Als we created have turned against us to build the Ultimate Intelligence; God. The God of Machines. His genesis could mean annihilation for man.

Something is drawing the Hegemony, the Ousters, the Als, the entire universe to the Shrike.

Here is a superb vision of future technology and ancient religions, of scientific revelation and timeless mystery, of transcendent joy and mind-bending horror, Here is a Hugo Award-winning landmark in Science Fiction.",/MyLibrary/Images/Books/183.png
