authors,title,series,genres,availability,publication_date,editor,pages,isbn,summary,cover_path
"Baricco, Alessandro; Brun, Françoise",Châteaux de la colère,,Roman,,05/02/2014,Editions Gallimard,319,9782070419593,"Vers le milieu du XIX° siècle, dans la petite ville imaginaire de Quinnipak, vit toute une communauté rassemblée autour de la très belle Jun Reihl, dont toute la ville admire les lèvres, et de son mari monsieur Reihl, directeur de la fabrique de verre.
A Quinnipak, chacun a son désir, sa « folie » secrète : Pekish, l'extravagant inventeur de l'« humanophone », un orchestre où chacun ne chante qu'une seule note, toujours la même ; Pehnt, son jeune assistant, enfant trouvé toujours vêtu d'une veste immense et informe ; la « veuve » Abegg, veuve d'un mari quelle na jamais épousé ; Horeau, l'architecte français qui rêve de grandioses constructions transparentes, et Elisabeth, la
locomotive à vapeur...

Avec Châteaux de la colère, Baricco nous offre un roman
foisonnant et singulier, construit comme une fugue où chacun chante sa partition avec justesse et jubilation.",/MyLibrary/Images/Books/83.png
"Baricco, Alessandro",City,,Roman,,03/10/2001,Folio,486,9782070419579,"D'abord le titre. Une ville. Pas une ville précise. Plutôt l'empreinte d'une ville quelconque. Son squelette. Je pensais aux histoires que j'avais dans la tête comme à des quartiers. Et j'imaginais des personnages qui étaient des rues, et qui certaines
fois commençaient et mouraient dans un quartier, d'autres fois traversaient la ville entière, accumulant des quartiers et des
mondes qui navaient rien à voir les uns avec les autres et qui
pourtant étaient la même ville. Je voulais écrire un livre qui bouge comme quelqu'un qui se perd dans une ville.
Des personnages - des rues – il y en a beaucoup : il y a un coiffeur qui le jeudi coupe les cheveux gratis, il y en a un qui est un géant, un autre qui est muet. Il y a un petit garçon qui sappelle Gould, et une fille qui sappelle Shatzy Shell (rien à voir avec celui de l'essence). Il y a aussi dans City deux quartiers, assez vastes, un peu décalés en arrière dans le temps. Il ya une histoire de boxe, et il y a un western. Le western, cest quelque chose à quoi je pensais depuis des années. J'étais toujours là à essayer de mimaginer comment diable on pouvait bien faire pour écrire la fusillade finale. Quant à la boxe, là c'est un monde dingue, superbe. Si en plus tu es quelqu'un qui écrit, tôt ou tard tu y viens. Mieux vaut tôt, me suis-je dit.",/MyLibrary/Images/Books/84.png
"Baricco, Alessandro",Emmaüs,,Roman,,15/04/2014,Editions Gallimard,176,9782070454501,"Quatre garçons, une fille : d'un côté, le narrateur, le Saint, Luca et Bobby, et, de l'autre, Andre. Elle est riche, belle, et elle distribue généreusement ses faveurs. Ils ont dix-huit ans comme elle, sont avant tout catholiques, fervents voire intégristes. Musiciens, ils forment un groupe qui anime les services à léglise et passent une
partie de leur temps libre à assister les personnes âgées
de l'hospice.
Alors qu'elle incarne la luxure, Andre les fascine, ils en sont tous les quatre amoureux. La tentation est forte mais le prix à payer sera lui aussi considérable.

Alessandro Baricco nous offre son récit le plus personnel, à la fois peinture de I'Italie des années 1970, roman d'apprentissage et subtile réflexion sur le réel et l'idéal.",/MyLibrary/Images/Books/85.png
"Baricco, Alessandro",Novecento : Pianiste,,Roman,,07/02/2002,GALLIMARD,87,9782070419876,"Né lors d'une traversée, Novecento, à trente ans, n'a jamais mis le pied à terre. Naviguant sans répit sur l'Atlantique, il passe sa vie les mains posées sur les quatre-vingt-huit touches noires et blanches d'un piano, à composer une musique étrange et magnifque, qui n'appartient qu'à lu i: la musique de l'Océan dont l'écho se répand dans tous les ports.
Sous la forme d'un monologue poétique, Baricco allie l'enchantement de la fable aux métaphores vertigineuses.",/MyLibrary/Images/Books/80.png
"Baricco, Alessandro",Novecento : pianiste/Novecento: Un monologo (Édition bilingue),,Roman,,21/09/2006,Folio,192,9782070327669,"Abandonné à la naissance sur le piano d'un paquebot, Novecento est devenu un musicien de génie, sans étre jamais descendu à terre. Un jour, embarque sur le Virginian un célèbre pianiste de jazz.
Entre les deux hommes va se dérouler un incroyable duel musical...
Court roman et parabole sur la création, Novecento envoûte par la poésie et la beauté de son écriture.",/MyLibrary/Images/Books/81.png
"Baricco, Alessandro; Brun, Françoise",Océan mer,,Roman,,01/08/2002,Folio,282,9782070419586,"Au bord de l'océan, à la pension Almayer, « posée sur
la corniche ultime du monde », se croisent sept personnages au destin étrange et romanesque, sept naufragés de la vie qui tentent de recoller les morceaux de leur existence. Mais leur séjour est bouleversé par le souvenir d'un hallucinant naufrage d'un siècle passé et la sanglante dérive d'un radeau. Et toujours, la mer, capricieuse et
fascinante...
Avec une époustouflante maîtrise, Alessandro Baricco nous offre à la fois un roman à suspense, un livre d'aventures, une méditation philosophique et un poème en prose.",/MyLibrary/Images/Books/82.png
"Barton, Chrissa",How to Draw Your RPG Character: A Step-by-Step Guide to Bringing Fantasy Characters to Life,,Dessin,,,,170,9781684620746,"Unlock the power to visualize your characters and bring them to life with the expert guidance of
fantasy illustrator and game artist Chrissa Barton.

Tieflings, gnomes, elves, dwarves, humans, halflings, dragonborn, half-elves, and
half-orcs - you'll master them all, even if you're a complete beginner. Learn to capture their unique characteristics following a simple step-by-step approach. Make your characters truly your own, whether they're formidable fighters, mystical druids, or anything else you can imagine.

Experience the magic of bringing your RPG characters to life, and add a whole new dimension to your immersive gaming adventures!",/MyLibrary/Images/Books/59.png
"Baud, Patrick",Lieux secrets - Merveilles insolites de l'humanité,,Documentaire,,,Dunod,224,978-2100763818,"Après le succès de Terre secrète et ses merveilles, Patrick Baud, créateur de la chaîne Youtube Axolot, vous propose un tour du monde à la découverte de cent lieux étranges et souvent méconnus : le puits mystique du palais de la Regaleira au Portugal, l'incroyable musée sous-marin de Cancun au Mexique, les mystérieux tombeaux de Myre en Turquie, la mosquée multicolore Nasir-ol-Molk en Iran, ou encore les jardins suspendus futuristes de Singapour... A chaque fois, une magnifique photographie accompagne la description du site et son étonnante histoire. Vous pouvez plonger dans ce livre et le lire d'une seule traite, ou bien le déguster au gré de vos envies, pour découvrir les lieux les plus secrets de notre planète !",/MyLibrary/Images/Books/242.png
"Baudelaire, Charles",Pages choisies,,Poésie,,,Classiques Larousse,,,,/MyLibrary/Images/Books/12.png
"Baumié, Brigitte; Collectif; Thion, Michel; Lamothe, Michel; L'Huillier, Marie-Thérèse",Les mains fertiles: 50 poètes en langue des signes,,Poésie,,03/09/2015,BRUNO DOUCEY,210,9782362290886,"«CRI
La voix du ventre
Les mains qui signent

Oppression de l'ombre,
Mon cri sommeille &
Sétrangle.
Eruption solaire.
Tempête d'un cri qui
explose.»

Djenebou Bathily,
slameuse et poète sourde",/MyLibrary/Images/Books/14.png
